[Description]
Title: Kiss Me More
Artist: Doja Cat

[Audio]
BPM: 111
Offset: 1400
Signature: 4/4

[Note]
9301, 0, 2
10346, 0, 2
11477, 0, 2
12607, 0, 2
13653, 0, 2
14698, 0, 2
15786, 0, 2
16874, 0, 2
17962, 0, 4
18048, 0, 0
19007, 0, 1
19007, 0, 3
20074, 0, 0
20074, 0, 4
21205, 0, 3
21205, 0, 1
22314, 0, 4
22314, 0, 0
23360, 0, 3
23360, 0, 1
25450, 0, 2
26026, 0, 2
26581, 0, 0
27114, 0, 0
27669, 0, 4
28202, 0, 4
28736, 0, 1
29269, 0, 1
29823, 0, 3
30378, 0, 3
30933, 0, 0
31466, 0, 0
32000, 0, 4
32554, 0, 4
33130, 0, 1
33599, 0, 1
34154, 0, 3
34709, 0, 3
35242, 0, 0
35754, 0, 0
36309, 0, 1
36821, 0, 1
37375, 0, 4
37909, 0, 4
38464, 0, 3
38997, 0, 3
39530, 0, 0
40063, 0, 0
40639, 0, 1
41130, 0, 1
41706, 0, 4
42261, 0, 4
42837, 0, 3
43370, 0, 3
43882, 0, 0
44437, 0, 1
44992, 0, 2
45525, 0, 3
46037, 0, 4
46591, 0, 3
47125, 0, 2
47680, 0, 1
48213, 0, 0
48768, 0, 1
49279, 0, 2
49834, 0, 3
50389, 0, 4
50901, 0, 3
51477, 0, 2
52181, 0, 1
52522, 0, 0
53077, 0, 1
53631, 0, 3
54165, 0, 4
54720, 0, 4
55231, 0, 3
55786, 0, 1
56319, 0, 0
56874, 0, 0
57429, 0, 1
57941, 0, 3
58474, 0, 4
60117, 0, 2
60629, 0, 2
61674, 0, 0
61674, 0, 4
62784, 0, 1
62805, 0, 3
63872, 0, 4
63872, 0, 0
64959, 0, 1
64959, 0, 3
66047, 0, 4
66047, 0, 1
67136, 0, 0
67136, 0, 3
68160, 0, 4
68181, 0, 1
69290, 0, 3
69290, 0, 0
70357, 0, 1
70357, 0, 3
71381, 0, 0
71402, 0, 4
72490, 0, 3
72490, 0, 1
73599, 0, 0
73599, 0, 4
74666, 0, 0
74688, 0, 3
75733, 0, 1
75733, 0, 4
77354, 0, 4
77375, 0, 0
77930, 0, 4
77952, 0, 0
78442, 0, 0
78954, 0, 1
79530, 0, 2
80127, 0, 1
80639, 0, 4
81173, 0, 3
81727, 0, 2
82304, 0, 3
82816, 0, 0
83370, 0, 1
83968, 0, 2
84480, 0, 1
84949, 0, 4
85525, 0, 3
86058, 0, 2
86613, 0, 3
87103, 0, 0
87615, 0, 2
88213, 0, 1
88746, 0, 0
89301, 0, 4
89856, 0, 2
90410, 0, 3
90922, 0, 4
91456, 0, 0
92010, 0, 2
92522, 0, 1
93055, 0, 0
94655, 0, 1
94655, 0, 3
95232, 0, 1
95232, 0, 3
